Name,Winery,Region,Vintage,Rating,RatingsCount,Price
Pomerol 1987,Château Trotanoy,"Pomerol, France",1987,4.4,7658,4707
Costasera Amarone della Valpolicella Classico 2016,Masi,"Amarone della Valpolicella Classico, Italy",2016,4.4,7175,3400
Ribera del Duero 2011,Alión,"Ribera del Duero, Spain",2011,4.4,7090,5999
Poggio Al Vento Brunello di Montalcino Riserva 1983,Col d'Orcia,"Brunello di Montalcino, Italy",1983,4.4,4935,6754
Cabernet Sauvignon 2015,Stags' Leap,"Napa Valley, United States",2015,4.4,4654,2800
Pomerol 1967,Château l'Eglise-Clinet,"Pomerol, France",1967,4.4,3744,6754
Saint-Émilion Grand Cru (Grand Cru Classé) 1978,Château Pavie Decesse,"Saint-Émilion Grand Cru, France",1978,4.4,3674,2047
Pauillac (Grand Cru Classé) 2011,Château Pontet-Canet,"Pauillac, France",2011,4.4,3315,4100
Clos Vougeot Grand Cru 1993,Château de la Tour,"Clos Vougeot Grand Cru, France",1993,4.4,3137,5526
Amarone della Valpolicella Classico 2018,Tommasi,"Amarone della Valpolicella Classico, Italy",2018,4.4,3116,2430
Clos Syrah Léone 1995,Peyre Rose,"Languedoc, France",1995,4.4,2986,6258
Tauleto Sangiovese 2001,Umberto Cesari,"Sangiovese di Romagna, Italy",2001,4.4,2803,2100
Pauillac (Grand Cru Classé) 2004,Château Lynch-Bages,"Pauillac, France",2004,4.4,2608,4502
Cabernet Sauvignon 2017,Jordan,"Alexander Valley, United States",2017,4.4,2475,3272
Clark & Telephone Vineyard Pinot Noir 2021,Belle Glos,"Santa Maria Valley, United States",2021,4.4,2411,2450
Saint-Emilion Grand Cru (Premier Grand Cru Classé) 1975,La Mondotte,"Saint-Émilion Grand Cru, France",1975,4.4,2207,5886
Saint-Emilion Grand Cru (Premier Grand Cru Classé) 1978,La Mondotte,"Saint-Émilion Grand Cru, France",1978,4.4,2205,3890
Pauillac (Grand Cru Classé) 2014,Château Pontet-Canet,"Pauillac, France",2014,4.4,2171,2865
Châteauneuf-du-Pape 2014,Château de Beaucastel,"Châteauneuf-du-Pape, France",2014,4.4,2068,3400
Cos d'Estournel 1996,Cos d'Estournel,"Saint-Estèphe, France",1996,4.4,2020,7713
Le Argille Cabernet di Cabernet 1947,47 Anno Domini,"Veneto, Italy",1947,4.4,2012,2200
Brunello di Montalcino 2009,Biondi-Santi,"Brunello di Montalcino, Italy",2009,4.4,1994,6600
